,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[83.74593351],[[1.14750282]],"[array([[17.88767394,  0.06105282]]), 0.8804100822066946]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.    0.01],0
1,[83.7365349],[[1.14754285]],"[array([[92.39949228,  4.20833816]]), 0.8797030586646976]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.    0.01],0
2,[91.36292691],[[0.86978899]],"[array([[99.01207766,  3.07279865]]), 1.2956700729679134]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.    0.01],0
3,[89.11245525],[[1.01366882]],"[array([[80.94450216,  0.98337917]]), 1.2891939368399101]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.    0.01],0
4,[87.10193222],[[1.09571913]],"[array([[71.26641106,  2.00351166]]), 1.5051449434555837]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.    0.01],0
5,[86.86958661],[[1.10240944]],"[array([[9.28240937e+01, 1.16991334e-07]]), 1.6101846593546738]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.    0.01],0
6,[79.62581422],[[1.15663379]],"[array([[41.36629453,  0.90675357]]), 1.1525527642961753]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.    0.01],0
7,[41.53906159],[[0.3233616]],"[array([[46.90926724,  0.82944306]]), 2.5207040357050836]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.    0.01],0
8,[36.04142425],[[0.0032296]],"[array([[3.04482507e+01, 9.05622557e-03]]), 3.3679287879645616]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.    0.01],0
9,[38.45247457],[[0.0872213]],"[array([[52.73228298,  2.31591203]]), 2.670444662039901]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.    0.01],0
