,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[43.33989254],[[5.0934231]],"[array([[40.25148407, 63.80553212]]), 69.54392443702139]","[0, 83.68203089617563]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.95204477e+04 3.62203038e+01 6.01267290e+01 5.86524572e-04],77
1,[43.87124063],[[6.34903907]],"[array([[46.90860858, 45.05079258]]), 85.19119211510474]","[0, 84.604373532618]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.95204479e+04 3.62191470e+01 6.01286998e+01 1.14715906e-03],77
2,[42.47309725],[[3.27215086]],"[array([[42.48167168, 78.60866239]]), 82.23998191161483]","[0, 82.17131883859203]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[2.14633705e+04 3.97359183e+01 6.09219892e+01 5.38357307e+00],77
3,[43.88703174],[[6.38772968]],"[array([[43.87776611,  4.72762282]]), 81.97550885122166]","[0, 82.11160913783931]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.95922314e+04 3.80096600e+01 5.99605700e+01 9.03388153e+00],77
4,[42.60434632],[[3.52739244]],"[array([[42.64674368, 12.72798205]]), 78.48615662115675]","[0, 78.64874880653862]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.95922290e+04 3.80096489e+01 5.99603864e+01 9.03403103e+00],77
5,[43.04871334],[[4.44744585]],"[array([[43.0674757 ,  9.59845974]]), 79.80324675214743]","[0, 79.86351673090435]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.95922266e+04 3.80096489e+01 5.99603876e+01 9.03402889e+00],77
6,[43.00566859],[[4.35473055]],"[array([[ 0.14503544, 37.80764119]]), 79.71069162434995]","[0, 79.71200012789711]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.95923740e+04 3.80097088e+01 5.99605770e+01 9.03388842e+00],77
7,[42.78587192],[[3.89310749]],"[array([[42.77692674, 31.43821837]]), 79.07166504398077]","[0, 79.07425858785699]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.95923716e+04 3.80096812e+01 5.99604706e+01 9.03403080e+00],77
8,[42.94116301],[[4.21718594]],"[array([[ 1.2119863 , 43.15895825]]), 79.5433568543771]","[0, 79.48018607598219]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.95923434e+04 3.80096259e+01 5.99606631e+01 9.03396170e+00],77
9,[43.07268661],[[4.49940153]],"[array([[43.08679384, 19.96338738]]), 79.56458857105028]","[0, 79.58674124437992]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.95923288e+04 3.79053416e+01 6.26607164e+01 8.29292490e+00],77
