,func_caller
0,0.00014066696166992188
1,0.00014829635620117188
2,0.0001499652862548828
3,0.002539396286010742
4,0.00013303756713867188
5,0.00013637542724609375
6,0.000110626220703125
7,0.0001418590545654297
8,0.00013375282287597656
9,0.00011134147644042969
10,0.00016832351684570312
11,0.07597231864929199
12,0.00014448165893554688
13,0.0001506805419921875
14,0.0001671314239501953
15,0.00016021728515625
16,0.00014090538024902344
17,0.00010848045349121094
18,0.0001354217529296875
19,0.00011229515075683594
20,0.0001289844512939453
21,0.00014138221740722656
22,0.010741949081420898
23,0.03957009315490723
24,7.700920104980469e-05
25,7.772445678710938e-05
