,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[21.5718334],[[30.74772125]],"[array([[99.99998737, 40.27836532]]), 76.35658389830729]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7.92164266e+03 2.34183662e+01 3.29000822e+01 1.00000000e-02],1423
1,[21.73640237],[[30.41858331]],"[array([[10.70709962, 25.99065213]]), 74.63510191705389]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7.92166181e+03 2.17267504e+01 3.31648066e+01 9.94191211e-03],1423
2,[26.15282474],[[21.58575828]],"[array([[18.25506322, 27.99836803]]), 64.50886229380285]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9.09323927e+03 2.09521641e+01 3.78541141e+01 1.00000000e-03],1423
3,[30.93120757],[[12.03853767]],"[array([[ 0.15270586, 43.27451783]]), 59.757892988514]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9.09323303e+03 1.86655510e+01 3.60733692e+01 1.02081576e-02],1423
4,[27.99759601],[[17.89647039]],"[array([[41.61484841, 50.1133352 ]]), 55.338546036778034]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9080.82317262   21.16229421   38.37255241   41.51536948],1423
5,[30.23447647],[[13.42684597]],"[array([[21.86318266, 53.6330506 ]]), 74.8076278484099]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7565.63338814   20.07232644   33.05508407   35.05995069],1423
6,[33.18224208],[[7.61441649]],"[array([[20.81430084, 28.20304929]]), 67.28853330248491]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7.56563121e+03 1.87803046e+01 3.16567664e+01 9.98513434e-03],1423
7,[33.84841359],[[6.34981052]],"[array([[56.32963509, 37.80799207]]), 66.53127136427366]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7.56562964e+03 1.82776195e+01 3.32086919e+01 4.22751656e-01],1423
8,[32.94059224],[[8.08064277]],"[array([[32.9175298 , 92.89489895]]), 52.826779773242635]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17624.17046048    53.19190776    46.86611134   632.7703023 ],1423
9,[32.97273886],[[8.01843327]],"[array([[32.95659339, 87.5048695 ]]), 52.666544758236896]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[18183.51699826    53.97186435    48.2623223    587.53871256],1423
10,[33.02082556],[[7.92548026]],"[array([[33.04244665, 77.65698388]]), 53.28425260305237]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[19282.84884398    54.70321802    49.0718094    530.96628471],1423
11,[86.37799568],[[133.02537507]],"[array([[86.39806346, 43.85437209]]), 155.20097587141558]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[8.40146829e+03 7.56065611e+00 6.95356203e+01 1.00000000e-03],1423
