,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[39.68092405],[[0.07176414]],"[array([[64.91525227,  9.59943311]]), 49.994253693319266]","[0, 76.39766597731824]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17018.38992138    48.45162599    55.69771448    74.2610676 ],46
1,[34.53347176],[[5.09400056]],"[array([[99.86386275, 98.57500258]]), 60.533373264096085]","[0, 60.855007176706316]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17021.44601058    48.4533006     55.7013098     74.26321741],46
2,[33.08960218],[[7.79275621]],"[array([[33.04916806, 10.84506175]]), 58.141657871980215]","[0, 58.030160223063085]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17024.49833323    48.45466891    55.70353975    74.2606762 ],46
3,[28.99355284],[[15.90528139]],"[array([[30.72252267, 26.69615482]]), 68.21218614679466]","[0, 68.15513842078397]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[3.27249424e+04 4.78459671e+01 5.88482421e+01 1.00000000e-03],46
4,[29.41347988],[[15.0661052]],"[array([[29.28019893, 94.4064259 ]]), 67.41569610388183]","[0, 67.53800558454442]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[32722.73393986    48.34194919    55.06118305    48.04941019],46
5,[29.34784106],[[15.19725405]],"[array([[29.67053313, 91.00688987]]), 67.36063793393048]","[0, 67.37292897577724]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[32721.0829879     48.34152307    55.06050006    48.05147638],46
6,[29.04356041],[[15.8053307]],"[array([[28.65446393, 97.32188361]]), 67.04322097588835]","[0, 66.99861444488745]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[32719.43265003    48.34122177    55.05961784    48.05259361],46
7,[29.23075551],[[15.43121817]],"[array([[29.23981177, 15.88679026]]), 63.03752474931939]","[0, 63.02656817578451]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[32715.58202641    51.87997581    50.38982817    61.11393678],46
8,[29.25045469],[[15.39185272]],"[array([[29.24801252, 71.4301632 ]]), 60.46187841202404]","[0, 60.46573024028118]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16530.55168037    47.95543455    43.73783899    95.54441562],46
9,[27.80890325],[[18.27379432]],"[array([[27.84057248, 23.55303514]]), 59.13853501756969]","[0, 59.10918263219512]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16530.57430745    47.95587883    43.73760946    95.54632038],46
10,[27.64326038],[[18.60503694]],"[array([[27.61990373, 95.1796078 ]]), 62.46166888490936]","[0, 62.44854271550621]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16657.26523803    46.8837774     42.24776255    98.55329839],46
11,[33.74245537],[[6.54854415]],"[array([[4.05574448e-06, 4.23108488e+01]]), 25.378991703947335]","[0, 23.639145934720876]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9.02685742e+03 4.58412594e+01 1.83796233e+01 1.00000000e-03],46
12,[33.37323508],[[7.24845001]],"[array([[ 3.15976212, 42.46697947]]), 23.84754879243232]","[0, 23.54430696990024]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9.21615592e+03 4.90740747e+01 1.85001305e+01 3.99590423e-08],46
13,[30.61371164],[[12.67072248]],"[array([[61.63781451, 48.72903046]]), 32.45092975108548]","[0, 32.342530484693505]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9.21620667e+03 4.93947090e+01 1.94419991e+01 2.16012385e+00],46
14,[28.05135998],[[17.78896309]],"[array([[98.19427923, 41.36924977]]), 65.46208486855119]","[0, 65.46878032276115]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[22171.53348197    45.21981453    48.79310412    63.10849046],46
15,[27.8213704],[[18.24886364]],"[array([[27.82049242, 94.54193619]]), 65.17141827492217]","[0, 65.15346257122896]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[22170.62138027    45.21955748    48.79266697    63.10924916],46
16,[33.10606165],[[7.7610331]],"[array([[51.81198097, 36.47786609]]), 46.283926246587065]","[0, 46.02381507614008]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[7.39199162e+03 4.04426464e+01 1.50664240e+01 1.00000000e-03],46
17,[49.42513868],[[22.17327661]],"[array([[42.90866484, 41.91089818]]), 29.374731950834757]","[0, 28.159427874443217]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[6.79836751e+03 2.57309761e+01 1.76574031e+01 1.00000000e-03],46
18,[31.61914594],[[10.67279798]],"[array([[31.64349699, 48.24095896]]), 76.79279105578496]","[0, 76.69008729313751]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14131.31542145    39.79289876    38.33679381   110.11249405],46
19,[31.80545329],[[10.30427369]],"[array([[31.80534058, 41.80605958]]), 68.21804564472713]","[0, 68.19287221432792]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15248.23930375    44.15877747    40.63314675   135.69150041],46
20,[31.75142646],[[10.41106768]],"[array([[31.76711482, 71.86477014]]), 66.65034891469298]","[0, 66.6779941603054]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15670.34887103    44.86055989    41.29117069   129.43583049],46
21,[31.98825281],[[9.94342956]],"[array([[31.97490491, 64.01972634]]), 67.12699783573726]","[0, 67.18030962428125]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15670.54914798    44.86039475    41.29137565   129.43636949],46
22,[32.21196365],[[9.50300005]],"[array([[32.20812267,  2.52897107]]), 67.5525570266597]","[0, 67.54318439385412]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15670.26932604    44.86045917    41.29129729   129.43687043],46
23,[32.05642201],[[9.80907581]],"[array([[32.0601916 , 43.89935292]]), 66.91937950506292]","[0, 67.07632068751629]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15188.14480618    44.87898411    42.15542783   127.16900425],46
24,[32.42421831],[[9.08652978]],"[array([[32.44656571, 52.51165022]]), 67.6528101137687]","[0, 67.64342757392834]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15188.04508598    44.87889102    42.15551964   127.16892111],46
25,[43.27323093],[[4.94272505]],"[array([[48.86639005, 40.28829842]]), 84.84028005691984]","[0, 84.1678659902881]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[5.20942712e+03 1.01331616e+01 2.52658156e+01 1.00000000e-03],46
