,DeltaLoss
0,1.8804340362548828
1,1.9973559379577637
2,1.823075771331787
3,1.491246223449707
4,1.3901329040527344
5,1.4719719886779785
6,1.7599530220031738
7,1.5504026412963867
8,1.753032922744751
9,1.651512622833252
10,1.4174938201904297
11,1.1407783031463623
12,1.8259944915771484
13,1.5176994800567627
14,1.3342974185943604
15,1.7709698677062988
16,1.2480852603912354
17,1.5715606212615967
18,1.9362773895263672
19,0.9147770404815674
20,1.6222856044769287
21,1.0502288341522217
22,1.6412606239318848
23,1.5195181369781494
24,1.6547236442565918
25,1.6526329517364502
26,1.4915776252746582
27,1.4144847393035889
28,1.398465871810913
29,1.4143977165222168
30,1.624847412109375
31,1.9255483150482178
32,1.7543103694915771
33,1.3299472332000732
34,1.4513943195343018
35,1.2357966899871826
36,0.6210117340087891
37,0.28377580642700195
38,0.2847449779510498
39,0.28497886657714844
