,KG_Mc_Input
0,110.13320350646973
1,115.76084423065186
2,113.17098498344421
3,113.23661041259766
4,104.4370346069336
5,106.98047232627869
6,133.33662247657776
7,197.37346506118774
8,214.2171709537506
9,534.6735692024231
10,662.2569813728333
11,671.9615025520325
12,825.7680106163025
13,177.67627573013306
14,553.0038163661957
15,775.1884806156158
16,800.530002117157
17,1060.6144857406616
18,1059.3280766010284
19,1201.2232480049133
20,1267.8739805221558
21,1394.3059599399567
22,1515.486981868744
23,1550.8914680480957
24,1514.4078364372253
25,1582.4741580486298
26,1723.6982457637787
27,1823.8001742362976
28,1943.3667397499084
29,2193.330723762512
30,2143.015811443329
31,2118.884494304657
32,2309.1200103759766
33,2192.9445543289185
34,1860.5460007190704
35,1878.3729956150055
36,1445.922648191452
37,21.13643741607666
38,21.537822484970093
39,21.110665559768677
