,X_r,OC,KG,DL,HP_names,HP_vars,file_number
0,[31.15172041],[[11.60005933]],"[array([[28.79187679, 42.62523349]]), 69.96667163647959]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[1.69638107e+04 6.44020572e+01 4.01049736e+01 1.41664345e-04],254
1,[35.65191039],[[3.20002982]],"[array([[ 0.25491133, 43.24072633]]), 61.85321406388139]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16961.75888083    58.95981281    48.10493674    36.0298054 ],254
2,[36.49599137],[[1.96718725]],"[array([[86.76327726, 82.55066963]]), 62.05264283103]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[19348.03407769    58.08298015    53.6827622     37.04749928],254
3,[33.63779894],[[6.74581788]],"[array([[33.60413669, 55.51147525]]), 61.51454364747428]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[20022.23811354    54.7918368     42.79438453    39.1818394 ],254
4,[33.81204223],[[6.41791131]],"[array([[33.81250621, 78.00597357]]), 60.07052977114134]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[18191.64549376    55.09708794    40.5502902     40.62762123],254
5,[34.81680226],[[4.59272924]],"[array([[65.81642415, 41.07072993]]), 61.31098459524745]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[11158.66044579    46.81652049    33.04072808    28.38385598],254
6,[37.25393864],[[1.06560913]],"[array([[37.25002764, 37.5286064 ]]), 62.73014017775302]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9979.83670744   47.60321051   30.17928766   22.65283925],254
7,[36.82798361],[[1.54504683]],"[array([[36.71444325,  8.58316998]]), 65.80493182761282]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12792.52316445    49.77886087    34.0854605     68.5015486 ],254
8,[36.75482629],[[1.63461243]],"[array([[36.77953138, 54.13581484]]), 66.83900354647847]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9596.30248405   48.35685345   28.24099339   54.50437318],254
9,[36.77064763],[[1.61507195]],"[array([[36.75779746, 21.38962555]]), 66.87349581766111]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[9402.9462443    47.84940504   28.22527722   45.99069356],254
10,[36.26970646],[[2.27675082]],"[array([[36.26250471, 74.65958734]]), 67.18301823960087]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12862.73248543    52.21513207    31.57041947    64.45711101],254
11,[36.22012709],[[2.34677543]],"[array([[36.22309936, 11.12407364]]), 67.1272430823574]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[12615.37209923    51.43968771    31.50303285    56.77930407],254
12,[36.15303373],[[2.44274222]],"[array([[36.1356208 , 84.21067083]]), 66.4627549705659]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13946.99157883    52.99812653    33.41688976    67.86441156],254
13,[36.37239891],[[2.13418648]],"[array([[36.39567045, 18.28715085]]), 66.61892954226823]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13263.52088543    51.07180894    33.1815156     62.65894817],254
14,[36.05730441],[[2.58200538]],"[array([[36.06402416, 91.82496384]]), 67.19296579104461]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16369.82854412    54.12649687    34.88152719    95.11306102],254
15,[36.18029647],[[2.40358165]],"[array([[36.19095869,  1.98349402]]), 67.21699711688719]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15522.31952651    53.08937286    34.17966429    87.85364105],254
16,[36.19346391],[[2.38474857]],"[array([[36.18046229,  5.97824378]]), 66.94629125221189]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13937.40853545    51.99035612    33.94898316    88.59676041],254
17,[35.89002682],[[2.83167305]],"[array([[35.86045711, 73.51818798]]), 64.51994624693091]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17341.62092364    54.89434764    39.27627542   193.74295957],254
18,[35.74977129],[[3.04687778]],"[array([[35.75873319, 10.93623208]]), 64.27587987153396]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[17241.88640886    54.74927061    39.1737409    182.5315575 ],254
19,[35.40877633],[[3.59048382]],"[array([[35.43921274, 61.83671219]]), 63.39385009514133]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[20071.89431457    56.46178898    41.73049362   205.50108848],254
20,[35.51851088],[[3.4125613]],"[array([[35.53785601, 40.72455741]]), 63.492426799815455]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[20017.98519954    56.49495775    41.55033676   194.94331858],254
21,[35.77560502],[[3.00685235]],"[array([[35.77060485, 61.41873992]]), 65.43112552725478]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[19086.85289268    55.30551291    40.78479957   186.9982087 ],254
22,[35.78906405],[[2.98606787]],"[array([[35.78879265, 12.50433382]]), 65.33940530492326]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[18995.50163594    55.26826126    40.6272017    178.20217378],254
23,[35.86508305],[[2.86956511]],"[array([[35.85828115, 66.81802262]]), 65.48952819636617]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[18682.21786837    55.05883122    40.42162441   170.91211814],254
24,[35.90786652],[[2.80467612]],"[array([[35.87479227, 34.46410557]]), 65.60059660346644]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[18614.7475814     54.96181503    40.35282748   163.45302119],254
25,[35.79827334],[[2.97187326]],"[array([[35.75912215, 82.99702655]]), 68.10192489202126]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16228.05651559    52.28753252    37.86567191   167.37781378],254
26,[35.83799913],[[2.91089723]],"[array([[35.81820552, 26.09087014]]), 68.20316589303259]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16222.61021291    52.11406705    37.95772523   160.7851045 ],254
27,[35.76456298],[[3.02393933]],"[array([[35.74449097, 53.8868518 ]]), 68.31509563771054]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[16069.629259      51.87581692    37.73305467   154.41975835],254
28,[35.83435312],[[2.91647623]],"[array([[35.83355184, 66.64647981]]), 68.27564292948568]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15965.77504437    51.87272341    37.58485248   148.79304905],254
29,[35.84982143],[[2.89283144]],"[array([[35.83742712, 18.09337143]]), 68.28087521394771]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15937.75511971    51.8033212     37.58935159   143.3917864 ],254
30,[35.93630086],[[2.76182617]],"[array([[35.90975669,  7.57373835]]), 68.10091386138875]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[15250.53852247    51.44498911    37.25594585   144.75893503],254
31,[35.99914407],[[2.66791874]],"[array([[35.96992962, 59.78734789]]), 68.49401455907461]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14975.74785606    51.40590897    36.64913611   144.21522477],254
32,[35.85741821],[[2.88124236]],"[array([[35.85294164,  2.89100555]]), 68.242880931317]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[14881.33726521    51.31530994    36.56369126   139.48038261],254
33,[36.2445369],[[2.31220392]],"[array([[36.23596027, 39.76511794]]), 68.84922924664598]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13695.51548995    50.13279294    35.84932673   138.8362986 ],254
34,[35.98453978],[[2.68964335]],"[array([[35.99716443, 41.35390461]]), 68.8435640393907]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13313.88838701    49.54847615    35.47652788   134.67191654],254
35,[36.10745335],[[2.50871296]],"[array([[36.09558804, 63.76264744]]), 69.40152034300654]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[13074.75425624    49.14859733    35.26405579   130.66739726],254
