,KG_Mc_Input
0,22.82505702972412
1,19.835927486419678
2,23.05767583847046
3,21.77600121498108
4,22.437812566757202
5,21.29251503944397
6,23.396533250808716
7,22.933557271957397
8,21.69935631752014
9,19.605227947235107
10,19.983173847198486
11,18.654414176940918
12,19.742659091949463
13,21.992185592651367
14,19.59140706062317
15,20.819103956222534
16,21.955270767211914
17,32.15133857727051
18,35.230891704559326
19,47.63423156738281
20,38.50373911857605
21,30.876707315444946
22,25.23970627784729
23,25.001721620559692
24,22.151308059692383
25,26.597790956497192
26,35.614908933639526
27,44.02731227874756
28,38.55047869682312
29,31.949538469314575
30,24.85949993133545
31,24.479819774627686
32,32.13866567611694
33,39.11586046218872
34,42.15656876564026
35,41.900880336761475
36,38.010149002075195
37,34.125909090042114
38,32.009817123413086
39,31.613988161087036
40,22.97046661376953
41,21.763258934020996
42,23.241116762161255
43,20.786338329315186
44,22.881349802017212
45,21.45019268989563
46,21.97066044807434
47,20.47959327697754
48,22.557270288467407
49,20.3184494972229
50,22.036166191101074
51,19.785736322402954
52,21.859946489334106
53,17.39653182029724
54,22.368224382400513
55,22.600656270980835
56,23.504991054534912
57,26.41563868522644
58,36.58258104324341
59,43.75781297683716
60,36.77422070503235
61,27.386319160461426
62,24.552319288253784
63,23.429874658584595
64,20.638808965682983
65,24.91397762298584
66,41.5723991394043
67,41.083357095718384
68,35.414345264434814
69,28.852328062057495
70,26.184021949768066
71,23.333299160003662
72,31.451916217803955
73,38.237406730651855
74,42.49628162384033
75,40.32210397720337
76,36.614200830459595
77,33.88637685775757
78,31.79025149345398
79,30.996388912200928
80,23.947287797927856
81,17.15129280090332
82,18.69316077232361
83,20.458953857421875
84,21.945428371429443
85,24.00053310394287
86,22.64500594139099
87,19.717495918273926
88,19.066925048828125
89,23.343633890151978
90,19.6295325756073
91,19.705500841140747
92,21.40707302093506
93,21.208924055099487
94,18.39866828918457
95,18.926708698272705
96,21.559556484222412
97,25.57202124595642
98,37.08097219467163
99,36.748722314834595
100,33.57374548912048
101,29.247909784317017
102,25.75098705291748
103,22.670574426651
104,19.717646837234497
105,23.558488607406616
106,37.13941502571106
107,43.75938367843628
108,36.76413440704346
109,29.049511671066284
110,22.884260654449463
111,22.91770052909851
112,27.39296007156372
113,41.343050718307495
114,42.002790212631226
115,38.327096462249756
116,36.08137345314026
117,32.47230792045593
118,31.38901662826538
119,30.53623938560486
120,19.852911233901978
121,18.01327919960022
122,18.656081914901733
123,20.7142813205719
124,22.94109845161438
125,26.881174087524414
126,25.698673248291016
127,22.825825929641724
128,24.48337745666504
