,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,file_number
0,[36.8650282],,72.39166927717648,73.89196795762646,1.500298680449987,[38.48204141  7.11713613],[36.84681786  1.86943959],[40.0659732 19.5965231],"[array([[37.82534643, 43.12487097,  1.7513539 ]]), 2.1581948396493686]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.66301497e+04 4.53953153e+01 3.73350237e+01 6.66666667e+01
 9.99979205e-03]",6_1
1,[63.52731183],,9.416709100299322,73.89196795762646,64.47525885732713,[38.60882961  7.15743162],[36.99128886  2.47018145],[39.73802333 17.21752046],"[array([[99.99997605, 39.79587189,  4.75812815]]), 8.652782006267017]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.66302730e+04 6.66666450e+01 2.32009913e+01 6.66666667e+01
 2.50050000e+00]",6_1
2,[43.86290349],,67.56274917287764,73.89196795762646,6.329218784748818,[38.71013649  7.71388399],[37.14973273  2.16429754],[40.33716103 17.79496057],"[array([[56.57101066, 42.98195951,  3.82202021]]), 0.4862903302277317]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.65606279e+04 4.66631433e+01 3.86846086e+01 6.66666667e+01
 2.50050000e+00]",6_1
3,[36.06198376],,71.3167431666357,73.89196795762646,2.5752247909907595,[38.54771815  6.72974452],[36.84155912  1.80815228],[40.10873427 17.67638679],"[array([[25.18294445, 42.31401687,  1.75993311]]), 0.13209885788863573]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.47861637e+04 4.47093936e+01 3.84968859e+01 6.66666667e+01
 2.50050000e+00]",6_1
4,[37.68981461],,73.23610196751098,73.89196795762646,0.6558659901154869,[38.65321426 10.37270153],[37.02678147  2.01587198],[40.39101295 23.4011761 ],"[array([[7.16146228e-05, 4.21868226e+01, 4.90026140e+00]]), 0.039617885242151374]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.43015995e+04 4.24051456e+01 3.97070826e+01 6.66666667e+01
 2.50050000e+00]",6_1
5,[38.52573394],,73.75692319276924,73.89196795762646,0.13504476485722705,[38.69314979  6.52829388],[37.21515313  1.79673011],[40.12495387 17.49100508],"[array([[71.90575503, 53.81776014,  0.60512133]]), 0.006873612037608723]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.31858514e+04 4.27316822e+01 3.90919084e+01 6.66666667e+01
 2.50050000e+00]",6_1
6,[38.3736312],,73.69007054328144,73.89196795762646,0.2018974143450265,[38.61996295 10.0906161 ],[37.15090886  2.43512061],[39.92918042 23.03440353],"[array([[17.21032241, 39.20992082,  4.60450311]]), 0.006540739022568687]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.20523495e+04 3.89529017e+01 3.99890267e+01 6.66666667e+01
 2.50050000e+00]",6_1
7,[37.98047171],,73.45866413948711,73.89196795762646,0.4333038181393505,[38.83404535  7.03914373],[37.41905205  1.86623256],[40.21086917 19.5932615 ],"[array([[52.02270381, 40.24094384,  3.04246962]]), 0.017467296190659454]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.16006986e+04 3.80560269e+01 3.97038246e+01 6.66666667e+01
 2.50050000e+00]",6_1
8,[37.44264812],,73.0146180981254,73.89196795762646,0.8773498595010665,[38.61734267  7.26214971],[37.30505265  1.89994011],[40.38656448 14.03874044],"[array([[87.75778948, 34.58579754,  7.12127016]]), 0.0029071650814671557]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.14033380e+04 3.78048213e+01 3.89555514e+01 6.66666667e+01
 2.50050000e+00]",6_1
9,[36.84317583],,72.36542919298421,73.89196795762646,1.526538764642254,[38.75405104  8.525548  ],[37.11727291  2.01913674],[40.32132265 26.24814915],"[array([[18.69263526, 40.75599613,  5.21322307]]), 0.0001818658470540413]","[nan, nan]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.48629877e+04 5.05800403e+01 3.89875959e+01 6.66666667e+01
 2.50050000e+00]",6_1
