,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,file_number
0,[39.2993899],False,73.88885766488094,73.89196795766347,0.003110292782523061,[39.80462713 13.56006792],[36.98105737  3.11361716],[42.05660344 41.48776346],"[array([[49.63896654, 45.09898859,  7.36583847]]), 1.9946090166261001]","[0, 0.027839186892379287]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.00005003e+04 5.03341179e+01 2.78448089e+01 6.66666667e+01
 9.99990205e-03]",1
1,[44.18206394],False,66.76763152287562,73.89196795766347,7.12433643478785,[40.10799279 15.41043213],[37.61928307  2.9600685 ],[42.52186359 49.79744868],"[array([[ 1.1948172 , 37.45940491,  6.99424227]]), 0.3557832169555297]","[0, 0.018910611683825948]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.07009113e+04 5.05550467e+01 3.14829912e+01 6.66666667e+01
 2.50050000e+00]",1
2,[43.06567684],False,69.40724027942095,73.89196795766347,4.484727678242521,[40.14568448 15.6022033 ],[38.0052979  3.0063568],[42.42863475 45.38556938],"[array([[11.26335317, 42.32256218, 35.69648054]]), 0.13549871839371264]","[0, 0.005465757037351346]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.15665972e+04 5.19150896e+01 3.29537796e+01 6.66666667e+01
 2.50050000e+00]",1
3,[42.37351097],False,70.80783670410858,73.89196795766347,3.0841312535548866,[40.04164676 13.74360719],[37.81757813  3.02084463],[42.94649219 36.18491798],"[array([[59.56218715, 40.70892493, 14.67044692]]), 0.04419989383021061]","[0, 0.009165690941461866]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.10247506e+04 5.27686036e+01 3.29886731e+01 6.66666667e+01
 2.50050000e+00]",1
4,[38.42987548],False,73.71630572234157,73.89196795766347,0.1756622353218944,[40.05481236 12.49109743],[37.74146346  3.25201611],[42.77999267 33.16434638],"[array([[95.1056931 , 40.73219678, 12.40678993]]), 0.25332912959687803]","[0, 0.11225292943693073]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.10219596e+04 4.36242625e+01 3.27304298e+01 6.66666667e+01
 2.50050000e+00]",1
5,[40.23832969],True,73.55556952560973,73.89196795766347,0.3363984320537412,[40.25905033 17.4773518 ],[37.98034858  3.2028321 ],[43.6264108  52.46911802],"[array([[21.42046187, 40.05645051,  9.52041722]]), 0.035970442283066006]","[0, 0.07593868524370051]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[8.84013210e+03 3.67766949e+01 3.48227988e+01 6.66666667e+01
 2.50050000e+00]",1
6,[40.14728404],True,73.61217692820068,73.89196795766347,0.27979102946278545,[39.57553866  9.60300096],[37.42237306  3.20740245],[41.47244812 26.73380374],"[array([[20.33210708, 38.75713998,  7.61671811]]), 0.03852582416507033]","[0, 0.08432919271237917]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[8.84013297e+03 3.67766894e+01 3.48228084e+01 6.66666667e+01
 2.50050000e+00]",1
7,[40.7807474],True,73.11095392475713,73.89196795766347,0.7810140329063415,[39.74333478  8.1491662 ],[38.27815742  2.33243296],[41.20904898 22.8352122 ],"[array([[22.21757811, 39.4823516 ,  9.10598808]]), 0.04368873597738343]","[0, 0.047394221155852796]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[8.84013684e+03 3.67766991e+01 3.48227879e+01 6.66666667e+01
 2.50050000e+00]",1
8,[41.24749428],False,72.5843146010428,73.89196795766347,1.307653356620662,[39.84344048  6.57342622],[38.26386509  2.27375801],[41.60788518 15.26274655],"[array([[23.67203627, 39.45146989,  8.37730423]]), 0.07520502547119179]","[0, 0.026163380198396324]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[8.84014963e+03 3.67766887e+01 3.48228234e+01 6.66666667e+01
 2.50050000e+00]",1
9,[39.47435767],False,73.86859096763824,73.89196795766347,0.023376990025226974,[39.94881104  7.10150284],[38.58139612  2.76832784],[41.17574734 18.36945933],"[array([[52.62305879, 37.25365775,  8.36100188]]), 0.03901935013637825]","[0, 0.008915283121830972]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[8.78253616e+03 3.60703211e+01 3.56835753e+01 6.66666667e+01
 2.50050000e+00]",1
