,DeltaLoss
0,5.70876932144165
1,5.21950888633728
2,6.135457992553711
3,6.390100717544556
4,6.828726530075073
5,6.136270046234131
6,5.770691394805908
7,6.692399740219116
8,7.433231830596924
9,6.65790319442749
10,7.116157054901123
11,8.694602251052856
12,6.851944923400879
13,6.9682252407073975
14,7.134623765945435
15,6.829648733139038
16,7.340596914291382
17,5.8498616218566895
18,5.736502408981323
19,6.652375221252441
20,6.2721288204193115
21,7.612246751785278
22,7.507837772369385
23,7.564480304718018
24,7.993810176849365
25,6.457876682281494
26,7.461436033248901
27,6.97282862663269
28,5.971605062484741
29,6.653652906417847
30,6.378462553024292
31,6.6932408809661865
32,8.13666296005249
33,7.009210109710693
34,7.396401643753052
35,7.081960678100586
36,7.24235463142395
37,7.70457124710083
38,7.112602949142456
39,7.043581247329712
40,8.063536167144775
41,7.879557132720947
42,7.258998155593872
43,7.903799057006836
44,8.45900273323059
45,7.320093870162964
46,8.458879947662354
47,7.602232933044434
48,7.80021595954895
49,7.279048204421997
50,7.629783868789673
51,8.060345888137817
52,7.618097543716431
53,8.257434844970703
54,7.868440389633179
55,7.711421728134155
56,7.6135454177856445
57,6.947381973266602
58,6.347262859344482
59,6.678955078125
60,7.8382792472839355
61,9.48352599143982
62,10.175587892532349
63,15.820032596588135
64,9.09482216835022
65,10.145183563232422
66,9.283883094787598
67,9.427368879318237
68,10.848520517349243
69,9.042125940322876
70,8.577213525772095
71,8.224979400634766
72,9.155998706817627
73,10.361843347549438
74,9.129657745361328
75,12.185123920440674
76,9.28468632698059
77,7.165659427642822
78,8.313675165176392
79,13.402005672454834
80,7.759256362915039
81,8.93506646156311
82,9.673028230667114
83,8.715049982070923
84,8.76394248008728
85,8.256544828414917
86,7.080901145935059
87,8.213688850402832
88,7.2590460777282715
89,7.579350471496582
