,DeltaLoss
0,10.804979801177979
1,10.97100281715393
2,10.435483455657959
3,12.3567795753479
4,12.933156728744507
5,9.713156700134277
6,10.849981307983398
7,10.2088463306427
8,10.664021968841553
9,10.86392092704773
10,10.67241883277893
11,11.740125179290771
12,10.803713321685791
13,11.420324802398682
14,11.087072610855103
15,12.260557651519775
16,12.428998231887817
17,11.492014408111572
18,10.89125394821167
19,11.093860864639282
20,12.516120433807373
21,11.1885404586792
22,11.270047426223755
23,11.438408374786377
24,10.667523622512817
25,11.485917568206787
26,11.170593738555908
27,11.868033409118652
28,11.821326732635498
29,11.805150508880615
30,12.020156621932983
31,11.615077257156372
32,13.771595239639282
33,11.964616537094116
34,11.255316257476807
35,11.983975648880005
36,13.458392143249512
37,13.705398559570312
38,12.255004167556763
39,13.667495965957642
40,11.04566764831543
41,13.425914525985718
42,11.240113258361816
43,12.468562841415405
44,11.979585886001587
45,13.029607772827148
46,13.473431825637817
47,14.926749229431152
48,12.283485412597656
49,13.419815063476562
50,11.755979537963867
51,12.911637306213379
52,12.578661680221558
53,13.212394714355469
54,12.43642258644104
55,13.236055612564087
56,12.004376411437988
57,12.384741306304932
58,12.562756776809692
59,14.243324995040894
60,10.884593963623047
61,12.47492003440857
62,11.46788763999939
63,10.04672884941101
64,9.40622067451477
65,10.358070850372314
66,10.017344236373901
67,11.664262533187866
68,12.109397649765015
69,11.39877438545227
70,10.940391302108765
71,11.306102991104126
72,10.270163536071777
73,10.955442190170288
74,10.83014965057373
75,11.647996664047241
76,11.312102317810059
77,10.2316312789917
78,10.494146347045898
79,12.802190780639648
80,11.091414213180542
81,11.268358945846558
82,10.875089883804321
83,10.188315868377686
84,10.508795022964478
85,11.513115167617798
86,12.932883262634277
87,11.594062805175781
88,12.447282314300537
89,10.818070650100708
90,10.871210813522339
91,11.100999593734741
92,11.948555946350098
93,12.300089836120605
94,11.217603206634521
95,12.661460876464844
96,12.327977418899536
97,12.385321378707886
98,12.713113069534302
99,11.228358745574951
100,11.354442596435547
101,12.877390146255493
102,11.15263319015503
103,11.378972053527832
104,12.449520349502563
105,13.020366907119751
106,11.309162855148315
107,12.174526453018188
108,12.382426023483276
109,13.454388856887817
110,12.865041017532349
111,11.646941661834717
112,12.905785322189331
113,11.345712184906006
114,12.750173568725586
115,13.05085825920105
116,12.058382987976074
117,12.53846263885498
118,12.5947265625
119,12.770532131195068
120,10.599221229553223
121,11.970516204833984
122,11.093757390975952
123,9.948143720626831
124,9.971032857894897
125,10.516166687011719
126,10.339603900909424
127,11.454613447189331
128,13.37658405303955
129,12.193003177642822
130,12.7595374584198
131,12.65282154083252
132,13.467514991760254
133,12.155564308166504
134,12.82066035270691
135,13.588303089141846
136,12.127280712127686
137,11.5706627368927
138,12.237342834472656
139,12.914647579193115
140,11.552398920059204
141,13.83642864227295
142,12.386892318725586
143,12.356333494186401
144,11.903548955917358
145,12.704947710037231
146,12.342541694641113
147,12.943353652954102
148,11.648958206176758
149,14.051135301589966
150,12.213717460632324
151,12.879761934280396
152,12.939976453781128
153,13.357466697692871
154,12.72936224937439
155,14.348359107971191
156,13.638978242874146
157,12.690460443496704
158,12.890773296356201
159,12.774973630905151
160,12.356597661972046
161,11.686383247375488
162,14.659520387649536
163,11.450373411178589
164,11.05622911453247
165,14.180544137954712
166,11.754114389419556
167,14.233524560928345
168,13.970045328140259
169,13.093284130096436
170,14.694279432296753
171,14.011234045028687
172,13.125155687332153
173,13.863744735717773
174,13.088067531585693
175,13.99089765548706
176,14.414578437805176
177,16.13215923309326
178,13.112758159637451
179,15.004913091659546
