,KG_Mc_Input
0,23.033016443252563
1,20.456294059753418
2,23.49766445159912
3,24.829089403152466
4,20.739558696746826
5,21.669483184814453
6,19.937253713607788
7,22.36202597618103
8,22.646181106567383
9,21.543062210083008
10,24.889262914657593
11,26.54392981529236
12,23.487506866455078
13,22.89970350265503
14,21.7226984500885
15,25.291775941848755
16,21.725056886672974
17,26.61560869216919
18,24.988654375076294
19,27.80732035636902
20,22.82507038116455
21,25.164039611816406
22,26.444561004638672
23,27.921926021575928
24,30.896581888198853
25,28.84495258331299
26,26.548662185668945
27,23.494449615478516
28,27.723353624343872
29,25.077297687530518
30,26.502522230148315
31,26.01610040664673
32,26.06010150909424
33,26.08335852622986
34,28.119022130966187
35,26.448723554611206
36,25.40925359725952
37,26.951385974884033
38,30.2730975151062
39,26.79774022102356
40,29.703611850738525
41,30.799140214920044
42,28.982864141464233
43,31.004395961761475
44,25.63943386077881
45,30.768728494644165
46,28.68236994743347
47,29.430365562438965
48,29.418643951416016
49,29.659719467163086
50,28.66313338279724
51,30.927407026290894
52,31.091754913330078
53,29.8237943649292
54,30.332544565200806
55,27.05465340614319
56,27.40502119064331
57,28.249919652938843
58,31.030498027801514
59,30.509410858154297
60,21.364073991775513
61,20.508545875549316
62,23.536570072174072
63,23.567480087280273
64,22.348525524139404
65,24.259811401367188
66,27.441585063934326
67,24.61810874938965
68,23.690016746520996
69,26.088075160980225
70,27.210527181625366
71,27.434080839157104
72,24.901792287826538
73,26.230681657791138
74,27.23435354232788
75,26.073915004730225
76,28.727433443069458
77,28.33232307434082
78,22.852921962738037
79,33.31710863113403
80,30.430237293243408
81,27.78335452079773
82,32.0773184299469
83,25.33992886543274
84,33.862547636032104
85,27.654772520065308
86,29.516329288482666
87,29.67260479927063
88,35.387004137039185
89,31.575868129730225
90,26.198768138885498
91,22.91220235824585
92,34.382965326309204
93,33.185669898986816
94,27.713231325149536
95,29.30098867416382
96,30.963338613510132
97,31.66427969932556
98,33.62508535385132
99,29.484307050704956
100,34.36007738113403
101,33.36580753326416
102,31.516364097595215
103,35.2527916431427
104,36.5723078250885
105,27.446419715881348
106,32.79241967201233
107,32.80178165435791
108,35.25220608711243
109,26.58118510246277
110,28.07644772529602
111,27.032562971115112
112,29.338501930236816
113,31.96822714805603
114,26.784558296203613
115,29.46799111366272
116,35.14992904663086
117,33.497231006622314
118,29.18466067314148
119,43.235350370407104
120,21.423274040222168
121,30.100898027420044
122,34.50875759124756
123,21.651824951171875
124,21.235283374786377
125,24.249572277069092
126,25.547672033309937
127,23.20023012161255
128,23.144874811172485
129,22.212962865829468
130,25.319910764694214
