,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,Best_ext_src,DL,HP_names,HP_vars,fp,file_number,results_name
0,[89.8130229],False,0,0,0.6344365289245553,[40.5071681],[37.5945189],[43.06261252],"[array([[22.11424369, 40.51824969, 45.15788269]]), 0.3770448857489166]",0,"[0, 0.0005327409900879426]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
1,[22.10587691],False,0,0,0.021063860267095263,[40.26698673],[38.01660332],[42.73454691],"[array([[14.30137742, 40.42751515, 45.25677938]]), 0.4443031647294802]",0,"[0, 0.0001159663834923935]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
2,[26.09511281],False,0,0,0.03543084056208564,[40.18910449],[37.10342068],[42.66553311],"[array([[89.71609096, 40.19823011, 45.23665258]]), 0.37903332700048414]",0,"[0, 0.0001720205356475084]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
3,[89.72703184],False,0,0,0.6418708014079755,[40.28098953],[37.72354471],[42.94758952],"[array([[95.62611523, 40.218466  , 45.29727315]]), 0.2890373896735431]",1,"[1, 0.0010283589151880445]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
4,[84.60949806],False,0,0,0.9536561835102351,[40.4898313],[37.5635127],[42.84156831],"[array([[76.8741009 , 40.35657115, 45.22742218]]), 0.15606307011302734]",1,"[1, 4.145448918313699e-05]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
5,[83.44317515],False,0,0,0.9725661980014779,[40.31246249],[37.5815163],[43.05061012],"[array([[62.90743019, 40.27232275, 45.15767917]]), 0.10073157076175465]",0,"[0, 0.0008416129454014049]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
6,[83.1683953],False,0,0,0.9735957569109792,[40.29952657],[37.76655331],[43.06361272],"[array([[40.48146433, 40.29895018, 44.78989109]]), 0.080197156016099]",1,"[1, 0.00033061077506186696]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
7,[83.1858221],False,0,0,0.9735698465481315,[40.26645329],[37.64452891],[42.90758152],"[array([[1.35616519e-05, 4.02679789e+01, 4.57809989e+01]]), 0.0707952927914407]",0,"[0, 0.00029123296905476606]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
8,[83.1788299],False,0,0,0.9735808844440852,[40.4271521],[37.75455091],[42.5685137],"[array([[49.38691515, 40.42519545, 45.2688444 ]]), 0.00860384144025561]",0,"[0, 0.000770526492512782]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
9,[83.16132169],False,0,0,0.9736047493525634,[40.02880576],[37.87057411],[42.35447089],"[array([[71.20724047, 40.17725546, 45.32257539]]), 0.004488132749164153]",1,"[1, 0.0006165955473391804]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
10,[83.12546989],False,0,0,0.9736367830410264,[40.5551777],[38.11662332],[42.99959992],"[array([[89.051421  , 40.64933646, 45.33474109]]), 0.003752498300074736]",0,"[0, 0.0011781334509882464]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
11,[83.1873646],False,0,0,0.9735672957658705,[40.36540641],[37.71654331],[42.74854971],"[array([[78.60593115, 40.39423197, 45.67870123]]), 0.0018547806150770452]",1,"[1, 0.0016131162519636155]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
12,[83.10259086],True,0,0,0.9736453962670844,[40.4338201],[37.83656731],[43.21064213],"[array([[31.45288675, 40.42708167, 45.43226002]]), 0.000737975183613071]",1,"[1, 0.0008310228700564459]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[ 1.   10.   10.   10.    0.01],4,5,synthetic_different_vars_5_10_RESULTS
